"{10, 5}->12"
"{10, 5}->3"
"{10, 5}->5"
"{10, 5}->8"
"{10, 6}->1"
"{10, 6}->3"
"{10, 6}->5"
"{10, 6}->8"
"{10, 6}->9"
"{10, 7}->10"
"{10, 7}->4"
"{10, 7}->7"
"{10, 8}->10"
"{10, 8}->3"
"{10, 8}->4"
"{10, 8}->5"
"{10, 8}->6"
"{10, 8}->8"
"{10, 9}->11"
"{10, 9}->5"
"{10, 9}->6"
"{11, 9}->1"
"{11, 9}->10"
"{11, 9}->4"
"{12, 12}->12"
"{12, 12}->13"
"{12, 12}->3"
"{12, 12}->5"
"{13, 12}->1"
"{5, 3}->10"
"{5, 3}->6"
"{5, 3}->7"
"{5, 3}->8"
"{5, 4}->4"
"{5, 4}->5"
"{5, 4}->7"
"{5, 4}->9"
"{6, 3}->1"
"{6, 3}->9"
"{6, 4}->11"
"{6, 4}->3"
"{6, 4}->6"
"{6, 4}->8"
"{6, 5}->3"
"{6, 5}->5"
"{6, 5}->7"
"{7, 3}->1"
"{7, 3}->10"
"{7, 3}->8"
"{7, 4}->11"
"{7, 4}->6"
"{7, 4}->7"
"{7, 4}->9"
"{7, 5}->11"
"{7, 5}->13"
"{7, 5}->2"
"{7, 5}->5"
"{7, 5}->7"
"{7, 5}->8"
"{7, 5}->9"
"{7, 6}->12"
"{7, 6}->13"
"{7, 6}->3"
"{7, 6}->4"
"{7, 6}->5"
"{7, 6}->6"
"{7, 6}->7"
"{7, 6}->8"
"{8, 4}->1"
"{8, 4}->3"
"{8, 4}->6"
"{8, 4}->8"
"{8, 5}->1"
"{8, 5}->10"
"{8, 5}->11"
"{8, 5}->2"
"{8, 6}->0"
"{8, 6}->10"
"{8, 6}->12"
"{8, 6}->2"
"{8, 6}->3"
"{8, 6}->6"
"{8, 6}->8"
"{8, 7}->2"
"{9, 5}->12"
"{9, 5}->2"
"{9, 5}->6"
"{9, 5}->7"
"{9, 6}->1"
"{9, 6}->10"
"{9, 6}->5"
"{9, 6}->6"
"{9, 7}->4"
"{9, 7}->7"
"{9, 7}->8"
"{9, 7}->9"
"{9, 8}->0"
"{9, 8}->2"
"{9, 8}->3"
"{9, 8}->4"
"{9, 8}->5"
"{9, 8}->7"
"{9, 8}->8"
